,,,
Lot #,VIN,Location,
91,4HXSC1628DC165247,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041557/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
92,4HXSC1622DC165289,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041558/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
93,4HXSC1621DC165204,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041559/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
94,4HXSC1627DC165305,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041560/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
95,4HXSC1627DC165238,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041561/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
96,4HXSC1623DC165950,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041562/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
97,4HXSC1627DC165255,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041563/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
98,4HXSC162XDC165265,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041564/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
99,4HXSC162XCC162364,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041565/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
100,4HXSC1622DC165213,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041566/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
101,4HXSC162XCC162414,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041567/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
102,4HXSC1625DC165187,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041568/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
105,4HXSC1629CC162372,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041571/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
106,4HXSC1620DC165291,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041572/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
107,4HXSC1620CC162437,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041573/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
108,4HXSC1622DC165258,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041574/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
109,4HXSC1627DC165272,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041575/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
110,NO VIN,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041576/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
111,4HXSC1620DC165260,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041577/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
114,4HXSC1625CC162448,"1099 West Ropes Avenue, Woodlake, CA, 93286
",
115,4HXSC1622CC162455,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041581/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
116,4HXSC1628PC165278,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041582/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
117,4HXSC1625CC162448,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041583/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
118,4HXSC1722FC180067,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041751/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
119,4HXSC1726FC180220,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041752/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
120,4HXSC1724FC180068,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041753/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
121,4HXSC1729FC180101,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041755/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
122,4HXSC1724FC180054,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041757/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
123,4HXSC1727FC180081,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041758/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
124,4HXSC1727FC178802,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041759/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
125,4HXSC1720FC178799,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041760/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
126,4HXSC1721FC180111,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041761/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
127,4HXSC1729FC180132,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041762/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
